	簡中(CN)	繁中(TW)	英文(EN)	韓文(KR)	泰文(TH)	越文(VN)	西班牙文(ES)	印尼文(ID)	日文(JP)	印度文(IN)	馬來文(MY)	俄文(RU)	緬甸文(MM)	寮文(LA)	阿拉伯文(AR)	意大利文(IT)	法文(FR)	德文(DE)	葡萄牙文(PT)
OK	确认	確認	Confirm	확인	ยืนยัน	xác nhận	confirmar	Konfirmasi	確認	पुष्टि करें	menentukan	определить	ဆုံးဖြတ်ရန်	ກຳ ນົດ	تحديد	determinare	déterminer	bestimmen	determinar
Cancel	取消	取消	Cancel	취소	ยกเลิก	hủy bỏ	cancelar	membatalkan	キャンセル	रद्द करना	membatalkan	отменить	ပယ်ဖျက်	ຍົກເລີກ	إلغاء	Annulla	Annuler	stornieren	cancelar
Back	返回	返回	Back	반환	กลับ	trở về	regreso	kembali	戻る	वापसी	kembali	возвращение	ပြန်လာ	ກັບຄືນ	إرجاع	ritorno	revenir	Rückkehr	Retorna
SocketError	连线错误，请从新连线。	連線錯誤，請從新連線。	Connection error, please login again.	연결 오류입니다. 다시 연결하십시오.	ข้อผิดพลาดในการเชื่อมต่อโปรดเชื่อมต่อใหม่	Lỗi kết nối, vui lòng kết nối lại.	Error de conexión, vuelva a conectar.	Kesalahan koneksi, harap sambungkan kembali.	接続エラー、再接続してください。	कनेक्शन त्रुटि, फिर से कनेक्ट करें।	Ralat sambungan, sila sambungkan semula.	Ошибка подключения, подключитесь повторно.	ဆက်သွယ်မှုအမှားပြန်လည်ဆက်သွယ်ပါ။	ຂໍ້ຜິດພາດໃນການເຊື່ອມຕໍ່, ກະລຸນາຕິດຕໍ່ ໃໝ່.	خطأ في الاتصال ، يرجى إعادة الاتصال.	Errore di connessione, riconnettiti.	Erreur de connexion, veuillez vous reconnecter.	Verbindungsfehler, bitte wieder verbinden.	Erro de conexão, reconecte.
SocketTimeout	尊贵的玩家↓您与服务器连接已中断，请重新启动游戏。	尊貴的玩家↓您與伺服器連接已中斷，請重新啟動遊戲。	Dear↓You got disconnected from server,↓please restart the game.	존경하는 플레이어 ↓ 서버 연결이 끊어졌습니다. 게임을 다시 시작하세요.	ผู้เล่นที่โดดเด่น↓การเชื่อมต่อกับเซิร์ฟเวอร์ของคุณถูกขัดจังหวะโปรดเริ่มเกมใหม่	Người chơi xuất sắc ↓ Kết nối của bạn với máy chủ đã bị gián đoạn, vui lòng khởi động lại trò chơi.	Jugador distinguido ↓ Tu conexión con el servidor se ha interrumpido, reinicia el juego.	Pemain terhormat ↓ Koneksi Anda ke server telah terputus, silakan mulai ulang permainan.	著名なプレイヤー↓サーバーへの接続が中断されました。ゲームを再起動してください。	विशिष्ट खिलाड़ी server सर्वर से आपका कनेक्शन बाधित हो गया है, कृपया खेल को पुनः आरंभ करें।	Pemain terhormat connection Sambungan anda ke pelayan telah terganggu, sila mulakan semula permainan.	Уважаемый игрок ↓ Ваше соединение с сервером было прервано, перезапустите игру.	ထူးခြားသောကစားသမား↓ဆာဗာနှင့်သင်၏ဆက်သွယ်မှုပြတ်တောက်သည်၊ ကျေးဇူးပြု၍ ဂိမ်းကိုပြန်စပါ။	ເຄື່ອງຫຼີ້ນທີ່ໂດດເດັ່ນ↓ການເຊື່ອມຕໍ່ຂອງທ່ານກັບເຊີບເວີຖືກຂັດຂວາງ, ກະລຸນາເລີ່ມເກມ ໃໝ່.	اللاعب المتميز تم قطع اتصالك بالخادم ، يرجى إعادة تشغيل اللعبة.	Distinto giocatore ↓ La tua connessione al server è stata interrotta, riavvia il gioco.	Joueur distingué ↓ Votre connexion au serveur a été interrompue, veuillez redémarrer le jeu.	Distinguished Player ↓ Ihre Verbindung zum Server wurde unterbrochen. Bitte starten Sie das Spiel neu.	Jogador ilustre ↓ Sua conexão com o servidor foi interrompida, reinicie o jogo.
SocketConnectFailed	连线错误，请从新连线。	連線錯誤，請從新連線。	Connection error, please login again.	연결 오류입니다. 다시 연결하십시오.	ข้อผิดพลาดในการเชื่อมต่อโปรดเชื่อมต่อใหม่	Lỗi kết nối, vui lòng kết nối lại.	Error de conexión, vuelva a conectar.	Kesalahan koneksi, harap sambungkan kembali.	接続エラー、再接続してください。	कनेक्शन त्रुटि, फिर से कनेक्ट करें।	Ralat sambungan, sila sambungkan semula.	Ошибка подключения, подключитесь повторно.	ဆက်သွယ်မှုအမှားပြန်လည်ဆက်သွယ်ပါ။	ຂໍ້ຜິດພາດໃນການເຊື່ອມຕໍ່, ກະລຸນາຕິດຕໍ່ ໃໝ່.	خطأ في الاتصال ، يرجى إعادة الاتصال.	Errore di connessione, riconnettiti.	Erreur de connexion, veuillez vous reconnecter.	Verbindungsfehler, bitte wieder verbinden.	Erro de conexão, reconecte.
Retry	重试	重試	Retry	다시 해 보다	ลองอีกครั้ง	Thử lại	Rever	Mencoba kembali	リトライ	पुन: प्रयास करें	Cuba lagi	Повторить	ပြန်ကြိုးစားပါ	ລອງ ໃໝ່ ອີກຄັ້ງ	أعد المحاولة	Riprova	Retenter	Wiederholen	Tentar novamente
LoadResource	资源載入中...	資源載入中...	Loading resources...	리소스로드 중 ...	กำลังโหลดทรัพยากร ...	Đang tải tài nguyên ...	Cargando recursos ...	Memuat sumber daya ...	リソースの読み込み...	संसाधन लोड हो रहा है ...	Memuatkan sumber ...	Загрузка ресурса ...	အရင်းအမြစ်တင်နေသည် ...	ການໂຫລດຊັບພະຍາກອນ ...	تحميل الموارد ...	Caricamento risorse ...	Chargement des ressources ...	Laden von Ressourcen ...	Carregando recurso ...
ConnectServer	连线伺服器中...	連線伺服器中...	Connect to server...	서버에 연결 중 ...	กำลังเชื่อมต่อกับเซิร์ฟเวอร์ ...	Kết nối với máy chủ...	Conectando al servidor...	Menghubungkan ke server ...	サーバーに接続しています...	सर्वर से कनेक्ट हो रहा है ...	Menyambung ke pelayan ...	Подключение к серверу ...	ဆာဗာသို့ချိတ်ဆက်နေသည် ...	ກຳ ລັງເຊື່ອມຕໍ່ກັບເຊີບເວີ ...	جاري التوصيل بالخادم...	Connessione al server ...	Connexion au serveur ...	Verbinde mit dem Server...	Conectando ao servidor ...
ConnectServer_0	登入帐号中...	登入帳號中...	Login account ...	로그인...	กำลังลงชื่อเข้าใช้ ...	Đang đăng nhập...	Iniciando sesión...	Masuk...	サインイン...	अंदर आना...	Melog masuk ...	Вход ...	ဆိုင်းအင်လုပ်နေသည် ...	ກຳ ລັງເຂົ້າສູ່ລະບົບ ...	تسجيل الدخول...	Registrarsi...	Connectez-vous...	Einloggen...	Entrando...
