	簡中(CN)	繁中(TW)	英文(EN)	韓文(KR)	泰文(TH)	越文(VN)	西班牙文(ES)	印尼文(ID)	日文(JP)	印度文(IN)	馬來文(MY)	俄文(RU)	緬甸文(MM)	寮文(LA)	阿拉伯文(AR)	意大利文(IT)	法文(FR)	德文(DE)	葡萄牙文(PT)
GameName	合金弹头	合金彈頭	Metal Slug	메탈 슬러그	โลหะบุ้ง	Sên kim loại	Babosa Metálica	Metal Slug	メタルスラッグ	धातु पीटना	Slug Logam	Металлический слизень	Metal ပက်ကျိ	Slug ໂລຫະ	سبيكة معدنية	Metal Slug	Limace de métal	Metall Geschoss	Lesma de metal
IntroText_Boss	海域首领	海域首領	Sea leader	바다 지도자	ผู้นำทะเล	Lãnh đạo biển	Líder del mar	Pemimpin laut	海のリーダー	सागर का नेता	Pemimpin laut	Морской лидер	ပင်လယ်ခေါင်းဆောင်	ຜູ້ ນຳ ທະເລ	زعيم البحر	Capo del mare	Chef de mer	Seeleiter	Líder do mar
IntroText_Weapon	特殊武器	特殊武器	Weapon	특수 무기	อาวุธพิเศษ	Vũ khí đặc biệt	Arma especial	Senjata khusus	特殊兵器	विशेष हथियार	Senjata khas	Специальное оружие	အထူးလက်နက်	ອາວຸດພິເສດ	سلاح خاص	Arma speciale	Arme spéciale	Spezialwaffe	Arma especial
WaveText	大军袭来!!!	大軍襲來!!!	Army coming in!!!	군대가 온다 !!!	กองทัพมาแล้ว !!!	Quân đội đang đến !!!	¡¡¡Viene el ejército !!!	Tentara akan datang !!!	軍隊が来ています!!!	सेना आ रही है !!!	Tentera akan datang !!!	Армия идет !!!	စစ်တပ်လာနေတယ်။	ກອງທັບ ກຳ ລັງມາ !!!	الجيش قادم !!!	L'esercito sta arrivando !!!	L'armée arrive !!!	Die Armee kommt !!!	O exército está chegando !!!
WaveText_Boss	Boss袭来!!!	Boss襲來!!!	Boss coming in!!!	군대가 온다 !!!	กองทัพมาแล้ว !!!	Quân đội đang đến !!!	¡¡¡Viene el ejército !!!	Tentara akan datang !!!	ボスが来ています!!!	सेना आ रही है !!!	Tentera akan datang !!!	Армия идет !!!	စစ်တပ်လာနေတယ်။	ກອງທັບ ກຳ ລັງມາ !!!	الجيش قادم !!!	L'esercito sta arrivando !!!	L'armée arrive !!!	Die Armee kommt !!!	O exército está chegando !!!
FishType_17_Loss	蟹堡王歼灭	蟹堡王殲滅	Crab King Annihilation	게왕 파멸	การทำลายล้างราชาปู	Crab King Annihilation	Aniquilación del Rey Cangrejo	Penghancuran Raja Kepiting	カニ王の絶滅	केकड़ा राजा एनीहिलेशन	Pemusnahan Raja Ketam	Аннигиляция крабового царя	ဂဏန်းဘုရင်ဖကျြဆီး	ປູກະສັດ Annihilation	إبادة ملك السلطعون	Annientamento del re dei granchi	Annihilation du roi du crabe	Krabbenkönig Vernichtung	Aniquilação do Rei Caranguejo
FishType_18_Loss	木星王歼灭	木星王殲滅	Jupiter King Annihilated	목성 왕이 몰살 됨	จูปิเตอร์คิงถูกทำลาย	Jupiter King bị hủy diệt	Rey de Júpiter aniquilado	Jupiter King Dimusnahkan	木星王は全滅	बृहस्पति राजा अनहिलेटेड	Raja Musytari Dimusnahkan	Король Юпитера уничтожен	ဂျူပီတာဘုရင် Annihilated	ຈູiterດກະສັດອະນິຈາ	الملك جوبيتر أباد	Giove re annientato	Jupiter King anéanti	Jupiterkönig vernichtet	Rei de Júpiter Aniquilado
FishType_19_Loss	太阳王歼灭	太陽王殲滅	Annihilation of the Sun King	태양 왕의 파멸	การทำลายล้าง Sun King	Sự hủy diệt của Sun King	Aniquilación del Rey Sol	Penghancuran Raja Matahari	太陽王の全滅	सूर्य राजा का विनाश	Pemusnahan Raja Matahari	Аннигиляция Короля-Солнца	အဆိုပါ Sun ကဘုရင်၏ဖကျြဆီး	ການ ທຳ ລາຍຂອງກະສັດ Sun King	إبادة ملك الشمس	Annientamento del Re Sole	Annihilation du roi soleil	Vernichtung des Sonnenkönigs	Aniquilação do Rei Sol
StartShoot	开始射击	開始射擊	Start shooting	촬영 시작	เริ่มถ่ายภาพ	Bắt đầu chụp	Empezar a disparar	Mulailah menembak	撮影開始	शूटिंग शुरू करें	Mulakan penggambaran	Начать съемку	စတင်ရိုက်ကူးပါ	ເລີ່ມຕົ້ນຍິງ	ابدأ التصوير	Inizia a scattare	Commencer la prise de vue	Starten Sie die Aufnahme	Comece a atirar
WarningTip_17	首领 蟹堡王 参战!!	首領 蟹堡王 參戰!!	The boss, King Crab, join the battle!!	보스 킹크랩이 전투에 동참 !!	บอส King Crab ร่วมศึก !!	Ông chủ King Crab hãy tham chiến !!	¡¡El jefe, King Crab, únete a la batalla !!	Bos, Raja Kepiting, bergabunglah dalam pertempuran !!	ボスのキングクラブがバトルに参加!!	मालिक, राजा केकड़ा, लड़ाई में शामिल हों !!	Bos, King Crab, sertai pertempuran !!	Босс, Королевский краб, присоединяйтесь к битве !!	သူဌေးကဘုရင်က္ဘ၊ စစ်ထဲဝင်ပါ !!	ເຈົ້ານາຍ King King ກະປູເຂົ້າຮ່ວມການສູ້ຮົບ !!	الرئيس ، الملك كراب ، ينضم إلى المعركة !!	Il boss, King Crab, unisciti alla battaglia !!	Le boss, King Crab, rejoignez la bataille !!	Der Boss, King Crab, tritt der Schlacht bei !!	O chefe, King Crab, junte-se à batalha !!
